Item Name,Item Type,In Battle Effect,Other Effect,Fling Damage,Can be held?
Choice Band,Stat Boosting,Boosts Attack by 50%; but locks the holder into the first move they use until they switch out,,10,TRUE
Choice Scarf,Stat Boosting,Boosts Speed by 50%; but locks the holder into the first move they use until they switch out,,10,TRUE
Choice Specs,Stat Boosting,Boosts Special Attack by 50%; but locks the holder into the first move they use until they switch out,,10,TRUE
Assault Vest,Stat Boosting,Boosts Special Degemse by 50%; but prevents the user from selecting any status move other than Me First,,80,TRUE
Black Sludge,Healing,Restores 1/16 of the holder's maximum HP at the end of each turn if the holder is Poison type; Damages the holder for 1/8 of their maximum HP at the end of each turn otherwise,,30,TRUE
Life Orb,Power Boosting,Increases the damage of the holder's attacks by 30%; but damages the holder for 10% of their maximum HP every time they use an attack,,30,TRUE
Rocky Helmet,Harming,Damages any Pokemon that makes contact with the holder for 1/6 of the attacker's maximum HP,,60,TRUE
Sticky Barb,Harming,Damages the holder for 12.5% of their maximum HP at the end of each turn; transfers to any Pokemon that makes contact with the current holder,,80,TRUE
Berserk Gene,Stat Boosting,Raises Attack 2 stages; but confuses the holder for 256 turns,,0,FALSE
Flame Orb,Statusing,Burns its holder at the end of the turn,,30,TRUE
Toxic Orb,Statusing,Bady poisons its holder at the end of the turn,,30,TRUE
Iron Ball,Immunity Removing,Grounds the holder and halves its speed,,130,TRUE
Ring Target,Immunity Removing,Holder loses type immunities to attacks,,10,TRUE
Lagging Tail,Priority,Forces the holder to move last in its priority bracket,,10,TRUE
Macho Brace,EV,Halves Speed,Doubles any Evs gained during a battle,60,TRUE
Utility Umbrella,Etc,Protects the holder from the effects of sun and rain,,60,TRUE
Berry Juice,Healing,Restores 20 HP when the holder falls below 50% of its maximum HP,,30,TRUE
Leftovers,Healing,Restores 1/16 of the holder's maximum HP at the end of each turn,,10,TRUE
Shell Bell,Healing,Whenever the holder deals damage with a move; restores HP equal 1/8 of the damage dealt ,,30,TRUE
Absorb Bulb,Absorbing,Raises the holder's Special Attack by 1 stage the first time it is hit by a Water type attack,,30,TRUE
Cell Battery,Absorbing,Raises the holder's Attack by 1 stage the first time it is hit by an Electric type attack ,,30,TRUE
Eject Button,Switching,Forces the holder to switch out upon being hit by an attack without fainting,,30,TRUE
Luminous Moss,Absorbing,Raises the holder's Special Defense by 1 stage the first time it is hit by a Water type attack,,30,TRUE
Snowball,Absorbing,Raises the holder's Attack by 1 stage the first time it is hit by an Ice type attack ,,30,TRUE
Weakness Policy,Etc,Raises the holder's Attack and Special Attack by 2 stages each the first time it is hit by a super effective attack,,80,TRUE
Wide Lens,Stat Boosting,Boosts the holder's accuracy by 10%,,10,TRUE
Ability Shield,Etc,Protects the holder from having rheir ability changed or ignored,,30,TRUE
Air Balloon,Etc,Ungrounds the holder; but breaks when the holder is hit,,10,TRUE
Amulet Coin,Money,Doubles prize money received from battles when held,,30,TRUE
Big Root,Etc,Causes the holder to gain 30% more HP when using a draining move; but increases damage taken when using a draining move on a Pokemon with the ability Liquid Ooze,,10,TRUE
Binding Band,Etc,Causes binding moves to deal 1/6 of the target's HP at the end of the turn instead of 1/8,,30,TRUE
Blunder Policy,Etc,The first time a move misses; rajses the holder's Speed by 2 stages,,80,TRUE
Bright Powder,Etc,Reduces the accuracy of moves targeted at the holder by 10%,,10,TRUE
Covert Cloak,Etc,Protects the holder from the secondary effects of other Pokemon's attacks,,30,TRUE
Destiny Knot,Etc,If the holder becomes infactuated; the Pokemon the holder is infatuated with becomes infatuated as well,If held by a parent Pokemon; 5 of the parents' combined 12 IVs will be passed down to the child,10,TRUE
Eject Pack,Etc,The first time any of the holder's stats are lowered; they are forced to switch out,,50,TRUE
Expert Belt,Etc,Boosts the power of super effective attacks by 20%,,10,TRUE
Float Stone,Etc,Halves the holder's weight,,30,TRUE
Focus Band,Etc,If the holder is hit by an attack that would cause it to faint; there is a 10% chance it will survive with 1HP,,10,TRUE
Focus Sash,Etc,If the holder is at full HP and is hit by an attack that would otherwise cause it to faint; it survives with 1 HP,,10,TRUE
Heavy-Duty Boots,Etc,Protects the holder from entry hazards,,80,TRUE
Mental Herb,Etc,Cures the holder of infatuation and the effects of Taunt; Encore; Torment; Heal Block; and Disable once,,10,TRUE
Metronome,Etc,Boosts the power of a move by 20% for every previous; consecutive turn that move has been used; up to 100%,,30,TRUE
Mirror Herb,Etc,Allows the holder to copy an opponent's stat changes once,Allows Pokemon to learn Egg Moves by picnicking with Pokemon that know that Egg Move,30,TRUE
Muscle Band,Etc,Boosts the power of physical moves by 10%,,10,TRUE
Power Herb,Etc,Allows the holder to execute charge moves immediately after charging,,10,TRUE
Protective Pads,Etc,Protects the holder from effects caused by making contact with opposing Pokemon,,30,TRUE
Quick Claw,Etc,Gives the holder a 20% of going first in its priority bracket,,80,TRUE
Red Card,Etc,Forcibly switches out the first Pokemon to successfully damage the holder with an attack,0,10,TRUE
Room Service,Etc,Lowers the holder's speed the first time they are in Trick Room,,100,TRUE
Safety Goggles,Etc,Makes the holder immune to powder moves; spore moves; hail; and sandstorm,,80,TRUE
Scope Lens,Etc,Raises the holder's critical hit ratio by one stage,,30,TRUE
Shed Shell,Etc,Allows the holder to switch no matter what,,10,TRUE
Smoke Ball,Etc,Allows the holder to escape battles against wild Pokemon no matter what,,30,TRUE
Throat Spray,Etc,Raises the holder's Special Attack by 1 stage the first time it uses a sound move,,30,TRUE
White Herb,Etc,Resets the holder's negative stat changes 1 time,,10,TRUE
Wise Glasses,Etc,Boosts the power of the holder's special attacks by 10%,,10,TRUE
Zoom Lens,Etc,Boosts the holder's accuracy by 20% against any Pokemon that have already moved,,10,TRUE
Everstone,Etc,,Prevents holder from evolving; guarantees bred Pokemon have the same Nature as the holder; forces bred Pokemon to be the same regional form as the parent,30,TRUE
Blue Scarf,Scarf,,Increases the holder's Beauty,10,TRUE
Green Scarf,Scarf,,Increases the holder's Cleverness,10,TRUE
Pink Scarf,Scarf,,Increases the holder's Cuteness,10,TRUE
Red Scarf,Scarf,,Increases the holder's Coolness,10,TRUE
Yellow Scarf,Scarf,,Increases the holder's Toughness,10,TRUE
Cleanse Tag,Etc,,Decreases encounter rate of wild Pokemon by 1/3 if held by the first member of the party,30,TRUE
Soothe Bell,Etc,,Boosts increases to the holder's friendship by 50%,10,TRUE
