id,Dex Number,Region,Name,Type 1,Type 2,Ability 1,Ability 2,Hidden Ability,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total,Weight (lb.),Height (m)
235,149,Kanto,Dragonite,dragon,flying,Inner Focus,,Marvel Scale,91,134,95,100,100,80,600,463,2.2
236,150,Kanto,Mewtwo,psychic,,Pressure,,Unnerve,106,110,90,154,90,130,680,269,2
237,150,Kanto,Mega Mewtwo X,psychic,fighting,Steadfast,,,106,190,100,154,100,130,780,280,2.3
238,150,Kanto,Mega Mewtwo Y,psychic,,Insomnia,,,106,150,70,194,120,140,780,72.8,1.5
239,151,Kanto,Mew,psychic,,Synchronize,,,100,100,100,100,100,100,600,8.8,0.4
240,152,Johto,Chikorita,grass,,Overgrow,,Leaf Guard,45,49,65,49,65,45,318,14.1,0.9
241,153,Johto,Bayleef,grass,,Overgrow,,Leaf Guard,60,62,80,63,80,60,405,34.8,1.2
242,154,Johto,Meganium-M,grass,,Overgrow,,Leaf Guard,80,82,100,83,100,80,525,221.6,1.8
243,154,Johto,Meganium-F,grass,,Overgrow,,Leaf Guard,80,82,100,83,100,80,525,221.6,1.8
244,155,Johto,Cyndaquil,fire,,Blaze,,Flash Fire,39,52,43,60,50,65,309,17.4,0.5
245,156,Johto,Quilava,fire,,Blaze,,Flash Fire,58,64,58,80,65,80,405,41.9,0.9
246,157,Johto,Typhlosion,fire,,Blaze,,Flash Fire,78,84,78,109,85,100,534,175.3,1.7
247,157,Hisui,Hisuian Typhlosion,fire,ghost,Blaze,,Frisk,73,84,78,119,85,95,534,153.9,1.6
248,158,Johto,Totodile,water,,Torrent,,Sheer Force,50,65,64,44,48,43,314,20.9,0.6
249,159,Johto,Croconaw,water,,Torrent,,Sheer Force,65,80,80,59,63,58,405,55.1,1.1
250,160,Johto,Feraligatr,water,,Torrent,,Sheer Force,85,105,100,79,83,78,530,195.8,2.3
251,161,Johto,Sentret,normal,,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,13.2,0.8
252,162,Johto,Furret,normal,,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,71.7,1.8
253,163,Johto,Hoothoot,normal,flying,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,46.7,0.7
254,164,Johto,Noctowl,normal,flying,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,89.9,1.6
255,165,Johto,Ledyba-M,bug,flying,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,23.8,1
256,165,Johto,Ledyba-F,bug,flying,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,23.8,1
257,166,Johto,Ledian-M,bug,flying,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,78.5,1.4
258,166,Johto,Ledian-F,bug,flying,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,78.5,1.4
259,167,Johto,Spinarak,bug,poison,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,18.7,0.5
260,168,Johto,Ariados,bug,poison,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,73.9,1.1
261,169,Johto,Crobat,poison,flying,Inner Focus,,Infiltrator,85,90,80,70,80,130,535,165.3,1.8
262,170,Johto,Chinchou,water,electric,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,26.5,0.5
263,171,Johto,Lanturn,water,electric,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,49.6,1.2
264,172,Johto,Pichu,electric,,Static,,Lightning Rod,20,40,15,35,35,60,205,4.4,0.3
265,172,Johto,Pichu-Spiky Ear,electric,,Static,,Lightning Rod,20,40,15,35,35,60,205,4.4,0.3
266,173,Johto,Cleffa,fairy,,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,6.6,0.3
267,174,Johto,Igglybuff,normal,fairy,Cute Charm,Competetive,Friend Guard,90,30,15,40,20,15,210,2.2,0.3
268,175,Johto,Togepi,fairy,,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,3.3,0.3
269,176,Johto,Togetic,fairy,flying,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,7.1,0.6
270,177,Johto,Natu,psychic,flying,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,4.4,0.2
271,178,Johto,Xatu-M,psychic,flying,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,33.1,1.5
272,178,Johto,Xatu-F,psychic,flying,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,33.1,1.5
273,179,Johto,Mareep,electric,,Static,,Plus,55,40,40,65,45,35,280,17.2,0.6
274,180,Johto,Flaaffy,electric,,Static,,Plus,70,55,55,80,60,45,365,29.3,0.8
275,181,Johto,Ampharos,electric,,Static,,Plus,90,75,85,115,90,55,510,135.6,1.4
276,181,Johto,Mega Ampharos,electric,dragon,Mold Breaker,,,90,95,105,165,110,45,610,135.6,1.4
277,182,Johto,Bellossom,grass,,Chlorophyll,,Healer,75,80,95,90,100,50,490,12.8,0.4
278,183,Johto,Marill,water,fairy,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,18.7,0.4
279,184,Johto,Azumarill,water,fairy,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,62.8,0.8
280,185,Johto,Sudowoodo-M,rock,,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,83.8,1.2
281,185,Johto,Sudowoodo-F,rock,,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,83.8,1.2
282,186,Johto,Politoed-M,water,,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,74.7,1.1
283,186,Johto,Politoed-F,water,,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,74.7,1.1
284,187,Johto,Hoppip,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,1.1,0.4
285,188,Johto,Skiploom,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,2.2,0.6
286,189,Johto,Jumpluff,grass,flying,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,6.6,0.8
287,190,Johto,Aipom-M,normal,,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,25.4,0.8
288,190,Johto,Aipom-F,normal,,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,25.4,0.8
289,191,Johto,Sunkern,grass,,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,4,0.3
290,192,Johto,Sunflora,grass,,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,18.7,0.8
291,193,Johto,Yanma,bug,flying,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,83.8,1.2
292,194,Johto,Wooper-M,water,ground,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,18.7,0.4
293,194,Johto,Wooper-F,water,ground,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,18.7,0.4
294,194,Paldea,Paldean Wooper,poison,ground,Poison Point,Water Absorb,Unaware,55,45,45,25,25,15,210,24.3,0.4
295,195,Johto,Quagsire-M,water,ground,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,165.3,1.4
296,195,Johto,Quagsire-F,water,ground,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,165.3,1.4
297,196,Johto,Espeon,psychic,,Synchronize,,Magic Bounce,65,65,60,130,95,110,525,58.4,0.9
298,197,Johto,Umbreon,dark,,Synchronize,,Inner Focus,95,65,110,60,130,65,525,59.5,1
299,198,Johto,Murkrow-M,dark,flying,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,4.6,0.5
300,198,Johto,Murkrow-F,dark,flying,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,4.6,0.5
301,199,Johto,Slowking,water,psychic,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,175.3,2
302,199,Galar,Galarian Slowking,poison,psychic,Curious Medicine,Own Tempo,Regenerator,95,65,80,110,110,30,490,175.3,1.8
303,200,Johto,Misdreavus,ghost,,Levitate,,,60,60,60,85,85,85,435,2.2,0.7
304,201,Johto,Unown-A,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
305,201,Johto,Unown-B,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
306,201,Johto,Unown-C,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
307,201,Johto,Unown-D,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
308,201,Johto,Unown-E,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
309,201,Johto,Unown-F,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
310,201,Johto,Unown-G,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
311,201,Johto,Unown-H,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
312,201,Johto,Unown-I,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
313,201,Johto,Unown-J,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
314,201,Johto,Unown-K,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
315,201,Johto,Unown-L,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
316,201,Johto,Unown-M,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
317,201,Johto,Unown-N,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
318,201,Johto,Unown-O,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
319,201,Johto,Unown-P,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
320,201,Johto,Unown-Q,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
321,201,Johto,Unown-R,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
322,201,Johto,Unown-S,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
323,201,Johto,Unown-T,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
324,201,Johto,Unown-U,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
325,201,Johto,Unown-V,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
326,201,Johto,Unown-W,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
327,201,Johto,Unown-X,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
328,201,Johto,Unown-Y,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
329,201,Johto,Unown-Z,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
330,201,Johto,Unown-!,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
331,201,Johto,Unown-?,psychic,,Levitate,,,48,72,48,72,48,48,336,11,0.5
332,202,Johto,Wobbuffet-M,psychic,,Shadow Tag,,Telepathy,190,33,58,33,58,33,405,62.8,1.3
333,202,Johto,Wobbuffet-F,psychic,,Shadow Tag,,Telepathy,190,33,58,33,58,33,405,62.8,1.3
334,203,Johto,Girafarig-M,normal,psychic,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,91.5,1.5
335,203,Johto,Girafarig-F,normal,psychic,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,91.5,1.5
336,204,Johto,Pineco,bug,,Sturdy,,Overcoat,50,65,90,35,35,15,290,15.9,0.6
337,205,Johto,Forretress,bug,steel,Sturdy,,Overcoat,75,90,140,60,60,40,465,277.3,1.2
338,206,Johto,Dunsparce,normal,,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,30.9,1.5
339,207,Johto,Gligar-M,ground,flying,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,142.9,1.1
340,207,Johto,Gligar-F,ground,flying,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,142.9,1.1
341,208,Johto,Steelix-M,steel,ground,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,881.8,9.2
342,208,Johto,Steelix-F,steel,ground,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,881.8,9.2
343,208,Johto,Mega Steelix,steel,ground,Sand Force,,,75,125,230,55,95,30,610,1631.4,10.5
344,209,Johto,Snubbull,fairy,,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,17.2,0.6
345,210,Johto,Granbull,fairy,,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,107.4,1.4
346,211,Johto,Qwilfish,water,poison,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,8.6,0.5
347,211,Hisui,Hisuian Qwilfish,dark,poison,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,8.6,0.5
348,212,Johto,Scizor-M,bug,steel,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,260.1,1.8
349,212,Johto,Scizor-F,bug,steel,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,260.1,1.8
350,212,Johto,Mega Scizor,bug,steel,Technician,,,70,150,140,65,100,75,600,275.6,2
351,213,Johto,Shuckle,bug,rock,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,45.2,0.6
352,214,Johto,Heracross-M,bug,fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,500,119,1.5
353,214,Johto,Heracross-F,bug,fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,500,119,1.5
354,214,Johto,Mega Heracross,bug,fighting,Skill Link,,,80,185,115,40,105,75,600,137.8,1.7
355,215,Johto,Sneasel-M,dark,ice,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,61.7,0.9
356,215,Johto,Sneasel-F,dark,ice,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,61.7,0.9
357,215,Hisui,Hisuian Sneasel-M,fighting,poison,,,,55,95,55,35,75,115,430,59.5,0.9
358,215,Hisui,Hisuian Sneasel-F,fighting,poison,,,,55,95,55,35,75,115,430,59.5,0.9
359,216,Johto,Teddiursa,normal,,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,19.4,0.6
360,217,Johto,Ursaring-M,normal,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,277.3,1.8
361,217,Johto,Ursaring-F,normal,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,277.3,1.8
362,218,Johto,Slugma,fire,,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,77.2,0.7
363,219,Johto,Magcargo,fire,rock,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,121.3,0.8
364,220,Johto,Swinub,ice,ground,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,14.3,0.4
365,221,Johto,Piloswine-M,ice,ground,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,123,1.1
366,221,Johto,Piloswine-F,ice,ground,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,123,1.1
367,222,Johto,Corsola,water,rock,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,11,0.6
368,222,Galar,Galarian Corsola,ghost,,Weak Armor,,Cursed Body,60,55,100,65,100,30,410,1.1,0.6
369,223,Johto,Remoraid,water,,Hustle,Sniper,Moody,35,65,35,65,35,65,300,26.5,0.6
370,224,Johto,Octillery-M,water,,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,62.8,0.9
371,224,Johto,Octillery-F,water,,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,62.8,0.9
372,225,Johto,Delibird,ice,flying,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,35.3,0.9
373,226,Johto,Mantine,water,flying,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,485,2.1
374,227,Johto,Skarmory,steel,flying,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,111.3,1.7
375,228,Johto,Houndour,dark,fire,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,23.8,0.6
376,229,Johto,Houndoom-M,dark,fire,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,77.2,1.4
377,229,Johto,Houndoom-F,dark,fire,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,77.2,1.4
378,229,Johto,Mega Houndoom,dark,fire,Solar Power,,,75,90,90,140,90,115,600,109.1,1.9
379,230,Johto,Kingdra,water,dragon,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,335.1,1.8
380,231,Johto,Phanpy,ground,,Pickup,,Sand Veil,90,60,60,40,40,40,330,73.9,0.5
381,232,Johto,Donphan-M,ground,,Sturdy,,Sand Veil,90,120,120,60,60,50,500,264.6,1.1
382,232,Johto,Donphan-F,ground,,Sturdy,,Sand Veil,90,120,120,60,60,50,500,264.6,1.1
383,233,Johto,Porygon2,normal,,Trace,Download,Analytic,85,80,90,105,95,60,515,71.7,0.6
384,234,Johto,Stantler,normal,,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,157,1.4
385,235,Johto,Smeargle,normal,,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,127.9,1.2
386,236,Johto,Tyrogue,fighting,,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,46.3,0.7
387,237,Johto,Hitmontop,fighting,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,105.8,1.4
388,238,Johto,Smoochum,ice,psychic,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,13.2,0.4
389,239,Johto,Elekid,electric,,Static,,Vital Spirit,45,63,37,65,55,95,360,51.8,0.6
390,240,Johto,Magby,fire,,Flame Body,,Vital Spirit,45,75,37,70,55,83,365,47.2,0.7
391,241,Johto,Miltank,normal,,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,166.4,1.2
392,242,Johto,Blissey,normal,,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,103.2,1.5
393,243,Johto,Raikou,electric,,Pressure,,Inner Focus,90,85,75,115,100,115,580,392.4,1.8
394,244,Johto,Entei,fire,,Pressure,,Inner Focus,115,115,85,90,75,100,580,436.5,2.1
395,245,Johto,Suicune,water,,Pressure,,Inner Focus,100,75,115,90,115,85,580,412.3,2
396,246,Johto,Larvitar,rock,ground,Guts,,Sand Veil,50,64,50,45,50,41,300,158.7,0.6
397,247,Johto,Pupitar,rock,ground,Shed Skin,,,70,84,70,65,70,51,410,335.1,1.2
398,248,Johto,Tyranitar,rock,dark,Sand Stream,,Unnerve,100,134,110,95,100,61,600,445.3,2
399,248,Johto,Mega Tyranitar,rock,dark,Sand Strem,,,100,164,150,95,120,71,700,562.2,2.5
400,249,Johto,Lugia,psychic,flying,Pressure,,Multiscale,106,90,130,90,154,110,680,476.2,5.2
401,250,Johto,Ho-oh,fire,flying,Pressure,,Regenerator,106,130,90,110,154,90,680,438.7,3.8
402,251,Johto,Celebi,psychic,grass,Natural Cure,,,100,100,100,100,100,100,600,11,0.6
403,252,Hoenn,Treecko,grass,,Overgrow,,Unburden,40,45,35,65,55,70,310,11,0.5
404,253,Hoenn,Grovyle,grass,,Overgrow,,Unburden,50,65,45,85,65,95,405,47.6,0.9
405,254,Hoenn,Sceptile,grass,,Overgrow,,Unburden,70,85,65,105,85,120,530,115.1,1.7
406,254,Hoenn,Mega Sceptile,grass,dragon,Lightning Rod,,,70,110,75,145,85,145,630,121.7,1.9
407,255,Hoenn,Torchic-M,fire,,Blaze,,Speed Boost,45,60,40,70,50,45,310,5.5,0.4
408,255,Hoenn,Torchic-F,fire,,Blaze,,Speed Boost,45,60,40,70,50,45,310,5.5,0.4
409,256,Hoenn,Combusken-M,fire,fighting,Blaze,,Speed Boost,60,85,60,85,60,55,405,43,0.9
410,256,Hoenn,Combusken-F,fire,fighting,Blaze,,Speed Boost,60,85,60,85,60,55,405,43,0.9
411,257,Hoenn,Blaziken-M,fire,fighting,Blaze,,Speed Boost,80,120,70,110,70,80,530,114.6,1.9
412,257,Hoenn,Blaziken-F,fire,fighting,Blaze,,Speed Boost,80,120,70,110,70,80,530,114.6,1.9
413,257,Hoenn,Mega Blaziken,fire,fighting,Speed Boost,,,80,160,80,130,80,100,630,114.6,1.9
414,258,Hoenn,Mudkip,water,,Torrent,,Damp,50,70,50,50,50,40,310,16.8,0.4
415,259,Hoenn,Marshtomp,water,ground,Torrent,,Damp,70,85,70,60,70,50,405,61.7,0.7
416,260,Hoenn,Swampert,water,ground,Torrent,,Damp,100,110,90,85,90,60,535,180.6,1.5
417,260,Hoenn,Mega Swampert,water,ground,Swift Swim,,,100,150,110,95,110,70,635,224.9,1.9
418,261,Hoenn,Poochyena,dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,30,0.5
419,262,Hoenn,Mightyena,dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,81.6,1
420,263,Hoenn,Zigzagoon,normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,38.6,0.4
421,263,Galar,Galarian Zigzagoon,normal,dark,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,38.6,0.4
422,264,Hoenn,Linoone,normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,71.7,0.5
423,264,Galar,Galarian Linoone,normal,dark,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,71.7,0.5
424,265,Hoenn,Wurmple,bug,,Shield Dust,,Run Away,45,45,35,20,30,20,195,7.9,0.3
425,266,Hoenn,Silcoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,22,0.6
426,267,Hoenn,Beautifly-M,bug,flying,Swarm,,Rivalry,60,70,50,100,50,65,395,62.6,1
427,267,Hoenn,Beautifly-F,bug,flying,Swarm,,Rivalry,60,70,50,100,50,65,395,62.6,1
428,268,Hoenn,Cascoon,bug,,Shed Skin,,,50,35,55,25,25,15,205,25.4,0.7
429,269,Hoenn,Dustox-M,bug,poison,Shield Dust,,Compound Eyes,60,50,70,50,90,65,385,69.7,1.2
430,269,Hoenn,Dustox-F,bug,poison,Shield Dust,,Compound Eyes,60,50,70,50,90,65,385,69.7,1.2
431,270,Hoenn,Lotad,water,grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,5.7,0.5
432,271,Hoenn,Lombre,water,grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,71.7,1.2
433,272,Hoenn,Ludicolo-M,water,grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,121.3,1.5
434,272,Hoenn,Ludicolo-F,water,grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,121.3,1.5
435,273,Hoenn,Seedot,grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,8.8,0.5
436,274,Hoenn,Nuzleaf-M,grass,dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,61.7,1
437,274,Hoenn,Nuzleaf-F,grass,dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,61.7,1
438,275,Hoenn,Shiftry-M,grass,dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,131.4,1.3
439,275,Hoenn,Shiftry-F,grass,dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,131.4,1.3
440,276,Hoenn,Taillow,normal,flying,Guts,,Scrappy,40,55,30,30,30,85,270,5.1,0.3
441,277,Hoenn,Swellow,normal,flying,Guts,,Scrappy,60,85,60,75,50,125,455,43.7,0.7
442,278,Hoenn,Wingull,water,flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,20.9,0.6
443,279,Hoenn,Pelipper,water,flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,61.7,1.2
444,280,Hoenn,Ralts,psychic,fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,14.6,0.4
445,281,Hoenn,Kirlia,psychic,fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,44.5,0.8
446,282,Hoenn,Gardevoir,psychic,fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,106.7,1.6
447,282,Hoenn,Mega Gardevoir,psychic,fairy,Pixilate,,,68,85,65,165,135,100,618,106.7,1.6
448,283,Hoenn,Surskit,bug,water,Swift Swim,,Rain Dish,40,30,32,50,52,65,269,3.7,0.5
449,284,Hoenn,Masquerain,bug,flying,Intimidate,,Unnerve,70,60,62,100,82,80,454,7.9,0.8
450,285,Hoenn,Shroomish,grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,9.9,0.4
451,286,Hoenn,Breloom,grass,fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,86.4,1.2
452,287,Hoenn,Slakoth,normal,,Truant,,,60,60,60,35,35,30,280,52.9,0.8
453,288,Hoenn,Vigoroth,normal,,Vital Spirit,,,80,80,80,55,55,90,440,102.5,1.4
454,289,Hoenn,Slaking,normal,,Truant,,,150,160,100,95,65,100,670,287.7,2
455,290,Hoenn,Nincada,bug,ground,Compound Eyes,,Run Away,31,45,90,30,30,40,266,12.1,0.5
456,291,Hoenn,Ninjask,bug,flying,Speed Boost,,Infiltrator,61,90,45,50,50,160,456,26.5,0.8
457,292,Hoenn,Shedinja,bug,ghost,Wonder Guard,,Wonder Guard,1,90,45,30,30,40,236,2.6,0.8
458,293,Hoenn,Whismur,normal,,Soundproof,,Rattled,64,51,23,51,23,28,240,35.9,0.6
459,294,Hoenn,Loudred,normal,,Soundproof,,Scrappy,84,71,43,71,43,48,360,89.3,1
460,295,Hoenn,Exploud,normal,,Soundproof,,Scrappy,104,91,63,91,73,68,490,185.2,1.5
461,296,Hoenn,Makuhita,fighting,,Thick Fat,Guts,Sheer Force,72,60,30,20,30,25,237,190.5,1
462,297,Hoenn,Hariyama,fighting,,Thick Fat,Guts,Sheer Force,144,120,60,40,60,50,474,559.5,2.3
463,298,Hoenn,Azurill,normal,fairy,Thick Fat,Huge Power,Sap Sipper,50,20,40,20,40,20,190,4.4,0.2
464,299,Hoenn,Nosepass,rock,,Sturdy,Magnet Pull,Sand Force,30,45,135,45,90,30,375,213.8,1
465,300,Hoenn,Skitty,normal,,Cute Charm,Normalize,Wonder Skin,50,45,45,35,35,50,260,24.3,0.6
466,301,Hoenn,Delcatty,normal,,Cute Charm,Normalize,Wonder Skin,70,65,65,55,55,90,400,71.9,1.1
467,302,Hoenn,Sableye,dark,ghost,Keen Eye,Stall,Prankster,50,75,75,65,65,50,380,24.3,0.5
468,302,Hoenn,Mega Sableye,dark,ghost,Magic Bounce,,,50,85,125,85,115,20,480,354.9,0.5
469,303,Hoenn,Mawile,steel,fairy,Hyper Cutter,Intimidate,Sheer Force,50,85,85,55,55,50,380,25.4,0.6
470,303,Hoenn,Mega Mawile,steel,fairy,Huge Power,,,50,105,125,55,95,50,480,51.8,1
471,304,Hoenn,Aron,steel,rock,Sturdy,Rock Head,Heavy Metal,50,70,100,40,40,30,330,132.3,0.4
472,305,Hoenn,Lairon,steel,rock,Sturdy,Rock Head,Heavy Metal,60,90,140,50,50,40,430,264.6,0.9
473,306,Hoenn,Aggron,steel,rock,Sturdy,Rock Head,Heavy Metal,70,110,180,60,60,50,530,793.7,2.1
474,306,Hoenn,Mega Aggron,steel,,Filter,,,70,140,230,60,80,50,630,870.8,2.2
475,307,Hoenn,Meditite-M,fighting,psychic,Pure Power,,Telepathy,30,40,55,40,55,60,280,24.7,0.6
476,307,Hoenn,Meditite-F,fighting,psychic,Pure Power,,Telepathy,30,40,55,40,55,60,280,24.7,0.6
477,308,Hoenn,Medicham-M,fighting,psychic,Pure Power,,Telepathy,60,60,75,60,75,80,410,69.4,1.3
478,308,Hoenn,Medicham-F,fighting,psychic,Pure Power,,Telepathy,60,60,75,60,75,80,410,69.4,1.3
479,308,Hoenn,Mega Medicham,fighting,psychic,Pure Power,,,60,100,85,80,85,100,510,69.4,1.3
